Amount,MerchantID,TransactionType,Location,IsFraud,Date
453.11,129,purchase,Phoenix,0,2025-01-09 04:00:00
1278.86,135,refund,Phoenix,0,2025-01-09 05:00:00
1162.36,657,purchase,San Diego,0,2025-01-09 06:00:00
349.68,127,purchase,Dallas,0,2025-01-09 07:00:00
1568.36,738,purchase,San Antonio,0,2025-01-09 08:00:00
1921.35,939,purchase,Austin,0,2025-01-09 09:00:00
3239.1,71,purchase,San Diego,0,2025-01-09 10:00:00
3145.73,273,purchase,Los Angeles,0,2025-01-09 11:00:00
276.53,187,purchase,Los Angeles,0,2025-01-09 12:00:00
429.31,3,purchase,San Diego,0,2025-01-09 13:00:00
1835.43,285,purchase,Philadelphia,0,2025-01-09 14:00:00
1833.14,22,purchase,San Diego,0,2025-01-09 15:00:00
1835.46,166,purchase,Dallas,0,2025-01-09 16:00:00
50000.0,310,purchase,Dallas,1,2025-01-09 17:00:00
1940.87,875,refund,Philadelphia,0,2025-01-09 18:00:00
3413.75,477,purchase,San Diego,0,2025-01-09 19:00:00
2846.94,498,purchase,Los Angeles,0,2025-01-09 20:00:00
2103.57,434,refund,San Diego,0,2025-01-09 21:00:00
800.1,758,purchase,Chicago,0,2025-01-09 22:00:00
2342.49,234,purchase,New York,0,2025-01-09 23:00:00
506.32,837,purchase,San Antonio,0,2025-01-10 00:00:00
865.39,670,refund,New York,0,2025-01-10 01:00:00
674.95,663,purchase,New York,0,2025-01-10 02:00:00
1190.2,725,purchase,New York,0,2025-01-10 03:00:00
11099.54,376,purchase,Houston,0,2025-01-10 04:00:00
169.48,730,refund,Houston,0,2025-01-10 05:00:00
2178.21,246,purchase,Austin,0,2025-01-10 06:00:00
218.61,303,refund,Philadelphia,0,2025-01-10 07:00:00
684.08,405,purchase,Austin,0,2025-01-10 08:00:00
3258.27,788,purchase,Chicago,0,2025-01-10 09:00:00
1169.44,663,purchase,Austin,0,2025-01-10 10:00:00
373.25,708,purchase,Philadelphia,0,2025-01-10 11:00:00
536.3,917,purchase,San Antonio,0,2025-01-10 12:00:00
2163.75,21,refund,New York,0,2025-01-10 13:00:00
528.28,257,purchase,Philadelphia,0,2025-01-10 14:00:00
1361.66,399,refund,Austin,0,2025-01-10 15:00:00
1147.76,529,purchase,New York,0,2025-01-10 16:00:00
571.58,51,purchase,San Antonio,0,2025-01-10 17:00:00
9357.6,447,purchase,Austin,0,2025-01-10 18:00:00
2067.14,270,purchase,Phoenix,0,2025-01-10 19:00:00
144.73,827,purchase,Austin,0,2025-01-10 20:00:00
1321.41,595,purchase,Houston,0,2025-01-10 21:00:00
565.78,818,purchase,New York,0,2025-01-10 22:00:00
2571.99,636,purchase,Dallas,0,2025-01-10 23:00:00
496.45,802,purchase,San Antonio,0,2025-01-11 00:00:00
977.76,262,refund,Los Angeles,0,2025-01-11 01:00:00
1817.08,365,purchase,Houston,0,2025-01-11 02:00:00
2606.48,49,purchase,Houston,0,2025-01-11 03:00:00
330.2,518,purchase,San Diego,0,2025-01-11 04:00:00
784.85,629,purchase,Los Angeles,0,2025-01-11 05:00:00
682.02,118,purchase,Phoenix,0,2025-01-11 06:00:00
570.59,453,refund,Austin,0,2025-01-11 07:00:00
6408.97,775,purchase,San Diego,0,2025-01-11 08:00:00
1644.15,865,purchase,Philadelphia,0,2025-01-11 09:00:00
310.79,973,purchase,Houston,0,2025-01-11 10:00:00
2745.89,947,purchase,Phoenix,0,2025-01-11 11:00:00
9155.92,886,purchase,Los Angeles,0,2025-01-11 12:00:00
3079.32,641,purchase,Phoenix,0,2025-01-11 13:00:00
240.0,397,purchase,Chicago,0,2025-01-11 14:00:00
675.71,683,refund,Chicago,0,2025-01-11 15:00:00
3892.91,27,purchase,San Antonio,0,2025-01-11 16:00:00
540.41,711,purchase,Chicago,0,2025-01-11 17:00:00
1709.27,372,purchase,Houston,0,2025-01-11 18:00:00
2379.47,899,purchase,San Antonio,0,2025-01-11 19:00:00
434.01,826,purchase,Chicago,0,2025-01-11 20:00:00
1033.26,857,purchase,Austin,0,2025-01-11 21:00:00
42.89,97,refund,Austin,0,2025-01-11 22:00:00
393.71,1000,purchase,Los Angeles,0,2025-01-11 23:00:00
851.87,529,purchase,Austin,0,2025-01-12 00:00:00
314.89,685,purchase,San Antonio,0,2025-01-12 01:00:00
5610.59,974,purchase,Phoenix,0,2025-01-12 02:00:00
262.4,613,refund,New York,0,2025-01-12 03:00:00
706.24,186,refund,Austin,0,2025-01-12 04:00:00
1249.8,696,refund,San Diego,0,2025-01-12 05:00:00
4634.45,950,purchase,Chicago,0,2025-01-12 06:00:00
260.9,215,purchase,San Antonio,0,2025-01-12 07:00:00
3509.27,251,purchase,Philadelphia,0,2025-01-12 08:00:00
1107.91,216,purchase,Austin,0,2025-01-12 09:00:00
410.96,29,purchase,Philadelphia,0,2025-01-12 10:00:00
1740.81,102,refund,San Diego,0,2025-01-12 11:00:00
1338.17,123,purchase,Houston,0,2025-01-12 12:00:00
601.71,54,refund,Houston,0,2025-01-12 13:00:00
1175.92,283,refund,Chicago,0,2025-01-12 14:00:00
745.97,614,refund,New York,0,2025-01-12 15:00:00
1228.46,117,purchase,Austin,0,2025-01-12 16:00:00
2126.28,616,purchase,Chicago,0,2025-01-12 17:00:00
5356.24,557,purchase,New York,0,2025-01-12 18:00:00
318.04,114,purchase,Philadelphia,0,2025-01-12 19:00:00
9256.06,855,purchase,San Diego,0,2025-01-12 20:00:00
155.7,543,purchase,Chicago,0,2025-01-12 21:00:00
942.2,676,purchase,Houston,0,2025-01-12 22:00:00
1974.99,977,purchase,Phoenix,0,2025-01-12 23:00:00
1452.43,701,purchase,San Antonio,0,2025-01-13 00:00:00
588.34,293,refund,Philadelphia,0,2025-01-13 01:00:00
890.58,195,purchase,Los Angeles,0,2025-01-13 02:00:00
669.81,292,purchase,San Antonio,0,2025-01-13 03:00:00
608.28,887,purchase,San Diego,0,2025-01-13 04:00:00
2564.71,261,purchase,New York,0,2025-01-13 05:00:00
1567.15,942,purchase,Philadelphia,0,2025-01-13 06:00:00
548.45,207,purchase,Dallas,0,2025-01-13 07:00:00
2696.2,564,refund,San Antonio,0,2025-01-13 08:00:00
1491.14,49,purchase,Phoenix,0,2025-01-13 09:00:00
2472.2,6,purchase,Austin,0,2025-01-13 10:00:00
2058.29,379,purchase,Austin,0,2025-01-13 11:00:00
478.67,394,purchase,Dallas,0,2025-01-13 12:00:00
626.29,886,purchase,Los Angeles,0,2025-01-13 13:00:00
2315.3,224,purchase,San Antonio,0,2025-01-13 14:00:00
2019.03,23,refund,Dallas,0,2025-01-13 15:00:00
1073.95,657,purchase,Los Angeles,0,2025-01-13 16:00:00
1233.15,110,purchase,Austin,0,2025-01-13 17:00:00
3935.0,724,purchase,Philadelphia,0,2025-01-13 18:00:00
606.94,812,purchase,Dallas,0,2025-01-13 19:00:00
1895.23,553,purchase,Chicago,0,2025-01-13 20:00:00
895.88,399,purchase,San Diego,0,2025-01-13 21:00:00
882.11,172,purchase,Phoenix,0,2025-01-13 22:00:00
3290.44,698,purchase,San Antonio,0,2025-01-13 23:00:00
2503.43,726,purchase,Chicago,0,2025-01-14 00:00:00
2473.8,306,purchase,San Diego,0,2025-01-14 01:00:00
4045.98,564,purchase,Los Angeles,0,2025-01-14 02:00:00
1119.91,582,purchase,San Diego,0,2025-01-14 03:00:00
2168.85,708,purchase,Los Angeles,0,2025-01-14 04:00:00
804.11,959,purchase,San Antonio,0,2025-01-14 05:00:00
1516.51,954,purchase,Los Angeles,0,2025-01-14 06:00:00
962.81,151,purchase,San Antonio,0,2025-01-14 07:00:00
1208.33,428,purchase,New York,0,2025-01-14 08:00:00
1988.54,621,purchase,Philadelphia,0,2025-01-14 09:00:00
483.85,467,purchase,Austin,0,2025-01-14 10:00:00
8887.38,630,refund,San Antonio,0,2025-01-14 11:00:00
401.01,877,purchase,Houston,0,2025-01-14 12:00:00
325.65,607,purchase,New York,0,2025-01-14 13:00:00
3491.58,768,refund,Philadelphia,0,2025-01-14 14:00:00
2420.34,556,refund,Houston,0,2025-01-14 15:00:00
2046.98,948,purchase,Chicago,0,2025-01-14 16:00:00
2055.65,67,purchase,Houston,0,2025-01-14 17:00:00
1083.28,156,purchase,Philadelphia,0,2025-01-14 18:00:00
447.08,835,purchase,Phoenix,0,2025-01-14 19:00:00
1182.99,206,purchase,Los Angeles,0,2025-01-14 20:00:00
557.15,786,refund,Los Angeles,0,2025-01-14 21:00:00
2907.71,155,purchase,Chicago,0,2025-01-14 22:00:00
946.66,691,purchase,Philadelphia,0,2025-01-14 23:00:00
480.34,509,purchase,New York,0,2025-01-15 00:00:00
795.22,572,purchase,San Antonio,0,2025-01-15 01:00:00
1657.28,74,purchase,San Diego,0,2025-01-15 02:00:00
624.08,49,purchase,San Antonio,0,2025-01-15 03:00:00
481.92,783,purchase,Chicago,0,2025-01-15 04:00:00
1399.24,467,purchase,Philadelphia,0,2025-01-15 05:00:00
1401.04,585,refund,Houston,0,2025-01-15 06:00:00
660.54,708,refund,Phoenix,0,2025-01-15 07:00:00
684.69,911,purchase,Chicago,0,2025-01-15 08:00:00
1383.05,179,refund,Phoenix,1,2025-01-15 09:00:00
257.73,48,purchase,Philadelphia,0,2025-01-15 10:00:00
268.42,72,purchase,San Diego,0,2025-01-15 11:00:00
534.62,113,purchase,Philadelphia,0,2025-01-15 12:00:00
885.85,757,purchase,Dallas,0,2025-01-15 13:00:00
1496.53,897,purchase,Austin,0,2025-01-15 14:00:00
4795.13,903,purchase,Austin,0,2025-01-15 15:00:00
2585.46,821,purchase,Austin,0,2025-01-15 16:00:00
934.55,159,purchase,Austin,0,2025-01-15 17:00:00
1075.98,786,purchase,Houston,0,2025-01-15 18:00:00
402.41,780,purchase,Los Angeles,0,2025-01-15 19:00:00
1076.52,816,purchase,Dallas,0,2025-01-15 20:00:00
821.67,30,refund,Chicago,0,2025-01-15 21:00:00
1514.32,97,purchase,San Antonio,0,2025-01-15 22:00:00
479.51,251,purchase,Houston,0,2025-01-15 23:00:00
1843.36,519,purchase,New York,0,2025-01-16 00:00:00
5078.34,92,purchase,San Diego,0,2025-01-16 01:00:00
983.62,113,purchase,Houston,0,2025-01-16 02:00:00
1638.79,259,purchase,Philadelphia,0,2025-01-16 03:00:00
2186.69,107,purchase,San Antonio,0,2025-01-16 04:00:00
734.2,575,purchase,San Diego,0,2025-01-16 05:00:00
1372.09,390,purchase,Austin,0,2025-01-16 06:00:00
1110.53,991,purchase,Los Angeles,0,2025-01-16 07:00:00
1209.15,358,purchase,Dallas,0,2025-01-16 08:00:00
506.23,783,purchase,Austin,0,2025-01-16 09:00:00
1123.84,199,purchase,Chicago,0,2025-01-16 10:00:00
1804.43,427,purchase,New York,0,2025-01-16 11:00:00
4680.42,478,refund,Los Angeles,0,2025-01-16 12:00:00
2861.99,859,purchase,San Diego,0,2025-01-16 13:00:00
9444.45,849,purchase,Austin,0,2025-01-16 14:00:00
509.1,503,purchase,Philadelphia,0,2025-01-16 15:00:00
2623.65,658,purchase,New York,0,2025-01-16 16:00:00
1317.3,918,refund,Dallas,0,2025-01-16 17:00:00
9796.72,573,purchase,San Antonio,0,2025-01-16 18:00:00
488.68,120,purchase,Austin,0,2025-01-16 19:00:00
473.56,573,refund,Chicago,0,2025-01-16 20:00:00
602.21,309,refund,San Antonio,0,2025-01-16 21:00:00
131.12,538,purchase,Philadelphia,0,2025-01-16 22:00:00
648.23,627,purchase,Chicago,0,2025-01-16 23:00:00
513.3,475,purchase,San Diego,0,2025-01-17 00:00:00
1274.61,552,purchase,New York,0,2025-01-17 01:00:00
1543.42,344,refund,Phoenix,0,2025-01-17 02:00:00
7159.32,628,purchase,San Diego,0,2025-01-17 03:00:00
2836.78,136,purchase,Chicago,0,2025-01-17 04:00:00
615.91,277,purchase,Austin,0,2025-01-17 05:00:00
446.57,989,purchase,Philadelphia,0,2025-01-17 06:00:00
1793.49,811,purchase,Austin,0,2025-01-17 07:00:00
292.88,533,purchase,Los Angeles,0,2025-01-17 08:00:00
6846.27,899,purchase,Dallas,0,2025-01-17 09:00:00
3566.86,31,purchase,Los Angeles,0,2025-01-17 10:00:00
685.96,247,refund,Phoenix,0,2025-01-17 11:00:00
197.72,411,purchase,Chicago,0,2025-01-17 12:00:00
4246.59,27,purchase,Austin,0,2025-01-17 13:00:00
977.95,73,purchase,Dallas,0,2025-01-17 14:00:00
3781.27,953,purchase,Dallas,0,2025-01-17 15:00:00
222.64,97,purchase,San Antonio,0,2025-01-17 16:00:00
602.22,673,purchase,Austin,0,2025-01-17 17:00:00
1102.4,346,purchase,Phoenix,0,2025-01-17 18:00:00
1149.38,476,purchase,Dallas,0,2025-01-17 19:00:00
699.2,300,purchase,San Antonio,0,2025-01-17 20:00:00
2044.38,299,purchase,Los Angeles,0,2025-01-17 21:00:00
377.05,287,refund,Austin,0,2025-01-17 22:00:00
951.1,885,purchase,New York,0,2025-01-17 23:00:00
1236.82,449,refund,Austin,0,2025-01-18 00:00:00
1834.34,212,purchase,Austin,0,2025-01-18 01:00:00
2234.15,76,purchase,Houston,0,2025-01-18 02:00:00
356.15,401,purchase,Austin,0,2025-01-18 03:00:00
236.49,655,purchase,San Diego,0,2025-01-18 04:00:00
3935.04,34,purchase,Philadelphia,0,2025-01-18 05:00:00
1528.92,498,purchase,Los Angeles,0,2025-01-18 06:00:00
518.8,848,purchase,Phoenix,0,2025-01-18 07:00:00
5172.71,516,purchase,Dallas,0,2025-01-18 08:00:00
1231.11,328,purchase,Philadelphia,0,2025-01-18 09:00:00
3566.35,98,purchase,Philadelphia,0,2025-01-18 10:00:00
1173.23,366,purchase,San Antonio,0,2025-01-18 11:00:00
8610.59,729,purchase,Phoenix,0,2025-01-18 12:00:00
6344.48,463,purchase,Chicago,0,2025-01-18 13:00:00
854.94,28,purchase,Chicago,0,2025-01-18 14:00:00
2897.41,713,purchase,Phoenix,0,2025-01-18 15:00:00
2090.95,386,purchase,Houston,0,2025-01-18 16:00:00
4309.73,273,purchase,Phoenix,0,2025-01-18 17:00:00
417.83,826,purchase,Dallas,0,2025-01-18 18:00:00
2177.76,127,purchase,Phoenix,0,2025-01-18 19:00:00
3160.31,202,purchase,Houston,0,2025-01-18 20:00:00
188.91,521,refund,Houston,0,2025-01-18 21:00:00
335.88,287,purchase,New York,0,2025-01-18 22:00:00
142.7,450,purchase,Austin,0,2025-01-18 23:00:00
837.64,88,purchase,Houston,0,2025-01-19 00:00:00
2247.43,318,purchase,Houston,0,2025-01-19 01:00:00
4926.37,19,purchase,Dallas,0,2025-01-19 02:00:00
1180.97,593,purchase,Houston,0,2025-01-19 03:00:00
5589.33,107,purchase,San Antonio,0,2025-01-19 04:00:00
275.86,458,purchase,New York,0,2025-01-19 05:00:00
199.66,311,purchase,San Antonio,0,2025-01-19 06:00:00
1037.38,412,purchase,Los Angeles,0,2025-01-19 07:00:00
1610.12,742,purchase,San Diego,0,2025-01-19 08:00:00
1061.36,624,purchase,New York,0,2025-01-19 09:00:00
138.73,732,purchase,Austin,0,2025-01-19 10:00:00
1003.13,635,purchase,Chicago,0,2025-01-19 11:00:00
297.53,498,purchase,San Diego,0,2025-01-19 12:00:00
2142.38,244,purchase,Austin,0,2025-01-19 13:00:00
1582.24,690,purchase,San Diego,0,2025-01-19 14:00:00
428.43,577,purchase,Phoenix,0,2025-01-19 15:00:00
655.98,380,purchase,Phoenix,0,2025-01-19 16:00:00
380.23,515,purchase,San Diego,0,2025-01-19 17:00:00
1030.01,207,purchase,Austin,0,2025-01-19 18:00:00
2850.19,948,purchase,Phoenix,0,2025-01-19 19:00:00
409.23,394,purchase,Dallas,0,2025-01-19 20:00:00
1815.37,21,purchase,New York,0,2025-01-19 21:00:00
